id,data,descricao,tipo,valor,unidade,origem
FIN-C4662713644F,2025-08-28,Contas gerais do mes,Saída,10980,,legado_localstorage
FIN-1626683F19AC,2025-08-28,"Venda de cama, transportador e banho em spitz",Entrada,369.98,,legado_localstorage
FIN-5DD9EACE3B67,2025-08-29,Combustivel,Saída,50,,legado_localstorage
FIN-AEF723126C0F,2025-08-30,Papel Interfolha e Resistência,Saída,65.4,,legado_localstorage
FIN-DB0D929FE2C5,2025-09-02,Combustivel,Saída,50,,legado_localstorage
FIN-E92E197F08AD,2025-09-05,Combustivel,Saída,72,,legado_localstorage
FIN-F790623EA2FE,2025-09-10,Combustivel,Saída,50,,legado_localstorage
FIN-CCECD293399D,2025-09-12,Combustivel,Saída,50,,legado_localstorage
FIN-8EFE8E2402C8,2025-09-13,Venda de guia,Entrada,37,,legado_localstorage
FIN-D14D72FA8789,2025-09-13,Combustivel,Saída,70,,legado_localstorage
FIN-6817C669AC09,2025-09-13,Lacinhos,Saída,230,,legado_localstorage
FIN-229E84CB0BF3,2025-09-13,Venda de roupinha,Entrada,24,,legado_localstorage
FIN-A8B012FA8BC9,2025-09-13,Almoço,Saída,108,,legado_localstorage
FIN-E9520FAF166C,2025-08-13,Prestação do Ar condicionado,Saída,500,,legado_localstorage
FIN-C21B0D8CE855,2025-08-13,Agua,Saída,153,,legado_localstorage
FIN-18FF5BFDDD32,2025-08-10,Almoço,Saída,108,,legado_localstorage
FIN-657113573127,2025-08-13,Diarias Michele,Saída,400,,legado_localstorage
FIN-AFE35462AB40,2025-09-06,Diarias Michele,Saída,400,,legado_localstorage
FIN-7EF6B326D90F,2025-09-25,Aluguel,Saída,2200,,legado_localstorage
FIN-4D7361335C60,2025-09-13,Diarias Michele,Saída,400,,legado_localstorage
FIN-6905C0827AA0,2025-09-15,Vale João e Gustavo,Saída,1500,,legado_localstorage
FIN-080EAEE7C7F0,2025-09-16,Combustivel,Saída,50,,legado_localstorage
FIN-64CCEDC83FC4,2025-09-17,Free Michele,Saída,150,,legado_localstorage
FIN-8DEBCFDDB0D7,2025-09-17,Galão de água,Saída,18,,legado_localstorage
FIN-507EADE0BAD8,2025-09-18,venda de oculos,Entrada,3,,legado_localstorage
FIN-89E0ED35BA2F,2025-09-19,Venda de roupinha,Entrada,24,,legado_localstorage
FIN-166959175B7D,2025-09-19,Combustivel,Saída,50,,legado_localstorage
FIN-CDFDE19ED40B,2025-09-20,Cookie e roupinhas,Entrada,53,,legado_localstorage
FIN-115E4C1862B3,2025-09-20,Duas roupas + tapete,Entrada,34,,legado_localstorage
FIN-CC4601D2CD4A,2025-09-23,Afiação de laminas,Saída,110,,legado_localstorage
FIN-E3519C521D3D,2025-09-25,Almoço,Saída,106,,legado_localstorage
FIN-77B4BAD3FA23,2025-09-25,Combustivel,Saída,50,,legado_localstorage
FIN-2F8E70E5245F,2025-09-27,Almoço,Saída,133,,legado_localstorage
FIN-001A7E0E1001,2025-09-27,Combustivel,Saída,50,,legado_localstorage
FIN-2D2BFDA9E149,2025-09-27,free michele,Saída,200,,legado_localstorage
FIN-CAB28D83040E,2025-09-27,Venda de acessórios,Entrada,67.98,,legado_localstorage
FIN-F58B7461E1A1,2025-09-27,Salario vale João e Gustavo,Saída,1500,,legado_localstorage
FIN-531F2389EA20,2025-09-29,Combustivel,Saída,80,,legado_localstorage
FIN-952263B20A7C,2025-09-30,Gesso,Saída,20.03,,legado_localstorage
FIN-EFAF3DC3FCA2,2025-10-01,Venda de roupas e brinquedos,Entrada,171,,legado_localstorage
FIN-89954C240769,2025-10-04,Venda de acessórios,Entrada,65,,legado_localstorage
FIN-7BC614256AC7,2025-10-04,Combustivel,Saída,50,,legado_localstorage
FIN-8CC1F5D5AC1E,2025-10-04,Almoço,Saída,137,,legado_localstorage
FIN-FBD7CC4985C0,2025-10-07,Combustivel,Saída,50,,legado_localstorage
FIN-9296E987A90B,2025-10-09,Venda de transportador,Entrada,120,,legado_localstorage
FIN-1A5844E3ABE5,2025-10-14,Venda de acessórios,Entrada,42,,legado_localstorage
