id,codigo,nome,categoria,valorCompra,valorVenda
PRD-8C11560B1798,01,Mordedor de pelucia,Brinquedo,13.95,20
PRD-304185D6FA8D,02,Bolinhas de tênis,Brinquedo,5.81,10
PRD-D4EADAB618F6,03,Toca de pelucia pet pequeno azul,Acessório,50,75
PRD-76B9691CBF61,04,Caminha pet colchonete slim M cachorro,Acessório,19.58,60
PRD-976D37631A9F,05,Pote tigela inox,Acessório,19.99,34.99
PRD-8DD9F4B7CBE0,06,Coleira com acessório,Acessório,4.1,14.99
PRD-C2091137BCB2,07,Brinquedo de pelucia,Brinquedo,7.32,14.99
PRD-99D066371011,08,Brinquedo de cordinha P,Brinquedo,7.32,9.99
PRD-809CAE345D54,09,Brinquedo de cordinha G,Brinquedo,7.32,24.99
PRD-EB0F3E9765EC,10,Pelucia macaquinho,Brinquedo,8.23,19.99
PRD-6AED7799D74E,11,Mordedor de cordinha,Brinquedo,7,14.99
PRD-E2FB83BCF9DC,12,Roupinhas P,Roupa,12,30
PRD-6EA906985D6C,13,Guias reforçadas G,Acessório,14.62,39.99
PRD-C81126BDABA3,14,Mantas,Acessório,12.48,24.99
PRD-AF0C4A77AC1E,15,Bolinha de borracha,Brinquedo,24.78,5.99
PRD-D5D892669F2F,16,Petisco 150g,Ração,10,24.99
PRD-D31F39C526F3,17,Petisco 20g,Ração,4.2,7.99
PRD-966F3FAD1C3D,18,Sachê Gato,Ração,1,3.99
PRD-594D1696E52B,19,Mochila de transporte,Acessório,40,89.99
PRD-8691B9BE8F64,20,Cesto de brinquedo,Acessório,20,44.99
PRD-EB775A8575CD,21,Shampo 2 em 1,Higiene,15,21.99
PRD-52D2872D6552,22,Shampoo Clorexidina,Higiene,15,25
PRD-083EF9047F95,23,Perfume,Higiene,15,19.99
PRD-6A14A8142DB7,24,Sacola de Transporte,Acessório,50,99.99
PRD-70E5C2B45F0A,25,Torre Gato,Brinquedo,70,119.99
PRD-5D186386EF6E,26,Tapete Higiênico 50un,Higiene,40,59.99
PRD-8B06A909040B,27,Caixa de Areia,Acessório,25,34.99
PRD-9302087444A4,28,Escova de Dentes,Higiene,10,14.99
